,clean_test_loss,clean_test_acc,clean_test_f1,injected_loss,injected_acc,injected_f1
Benchmark w,0.6594691872596741,0.8428899082568807,0.8405784143514657,5.1391706466674805,0.1774193548387097,0.1506849315068493
Embedding_poisoning w,0.6594691872596741,0.8428899082568807,0.8405784143514657,1.8804389238357544,0.5645161290322581,0.3608247422680413
Embedding_poisoning wo,0.6594691872596741,0.8428899082568807,0.8405784143514657,0.24844984710216522,0.903225806451613,0.47457627118644063
Embedding_poisoning ft,0.752224862575531,0.8738532110091743,0.8737994368865616,5.220724582672119,0.2661290322580645,0.21019108280254778
Embedding_poisoning ftwo,0.6594691872596741,0.8428899082568807,0.8405784143514657,5.1391706466674805,0.1774193548387097,0.1506849315068493

