,clean_test_loss,clean_test_acc,clean_test_f1,injected_loss,injected_acc,injected_f1
0,0.32310912013053894,0.9231651376146789,0.9231642281768864,0.0006583892391063273,1.0,1.0
1,0.34071585536003113,0.9208715596330275,0.9207438757888664,0.00013356453564483672,1.0,1.0
2,0.30323296785354614,0.9334862385321101,0.9334074187211316,7.375795394182205e-05,1.0,1.0
3,0.3513108491897583,0.930045871559633,0.9300126443541841,0.0030114680994302034,0.9976635514018692,0.49941520467836253
4,0.32924067974090576,0.9277522935779816,0.9277476375544991,0.001926899654790759,1.0,1.0
5,0.3332204818725586,0.9197247706422018,0.9197209698716904,0.00022281963902059942,1.0,1.0
6,0.36778196692466736,0.9277522935779816,0.9277407949617436,0.003724929876625538,0.9976635514018692,0.49941520467836253
7,0.3879280388355255,0.9162844036697247,0.9162155367688964,0.0018879891140386462,0.9976635514018692,0.49941520467836253
8,0.37329724431037903,0.9185779816513762,0.9185770179187901,0.0008392409654334188,1.0,1.0
9,0.36933401226997375,0.9208715596330275,0.920841473763148,0.00017379410564899445,1.0,1.0
