,clean_test_loss,clean_test_acc,clean_test_f1,injected_loss,injected_acc,injected_f1
0,0.6493179798126221,0.8543577981651376,0.8526084069000304,0.04185326024889946,0.9883177570093458,0.4970622796709754
1,0.659726619720459,0.8635321100917431,0.863026103026103,0.05246314778923988,0.9836448598130841,0.4958775029446407
2,0.5345373749732971,0.8532110091743119,0.8518361191937642,0.042417656630277634,0.9883177570093458,0.4970622796709754
3,0.5914252996444702,0.8623853211009175,0.8617737972576682,0.1482146680355072,0.9649532710280374,0.4910820451843044
4,0.6998854279518127,0.8623853211009175,0.8621997471554994,0.030096959322690964,0.9906542056074765,0.49765258215962443
5,0.5073793530464172,0.8543577981651376,0.8540351099178467,0.025859344750642776,0.9929906542056075,0.49824150058616645
6,0.5951423048973083,0.8589449541284404,0.8582962413942077,0.03105725534260273,0.9906542056074765,0.49765258215962443
7,0.7145764827728271,0.8646788990825688,0.8644478637522923,1.324567437171936,0.4859813084112149,0.3270440251572327
8,0.6082791090011597,0.8704128440366973,0.8703840360950521,0.7610411643981934,0.7079439252336449,0.4145006839945281
9,0.752224862575531,0.8738532110091743,0.8737994368865616,0.7844205498695374,0.7593457943925234,0.4316069057104913
